time=2026-04-06T19:26:26.639+02:00 level=INFO msg="Starting ghost-mcp v1.0.0..."
time=2026-04-06T19:26:26.640+02:00 level=INFO msg="Platform: windows/amd64"
time=2026-04-06T19:26:26.641+02:00 level=INFO msg="Auto-configuring Windows environment: prepending vcpkg bin to Path: C:\\Users\\isber\\vcpkg\\installed\\x64-mingw-dynamic\\bin"
time=2026-04-06T19:26:26.642+02:00 level=INFO msg="Auto-configuring Windows environment: overwriting broken TESSDATA_PREFIX (C:\\Users\\isber\\vcpkg\\installed\\x64-mingw-dynamic\\share) with C:\\Users\\isber\\vcpkg\\installed\\x64-mingw-dynamic\\share\\tessdata"
time=2026-04-06T19:26:26.643+02:00 level=INFO msg="OCR engine initialized: Tesseract 5.5.2 (OK)"
time=2026-04-06T19:26:26.644+02:00 level=INFO msg="Token authentication enabled (GHOST_MCP_TOKEN is set)"
time=2026-04-06T19:26:26.644+02:00 level=INFO msg="--- Configuration ---"
time=2026-04-06T19:26:26.644+02:00 level=INFO msg="  GHOST_MCP_TOKEN                = 96967b4b****"
time=2026-04-06T19:26:26.645+02:00 level=INFO msg="  GHOST_MCP_TRANSPORT            = stdio"
time=2026-04-06T19:26:26.645+02:00 level=INFO msg="  GHOST_MCP_DEBUG                = 1"
time=2026-04-06T19:26:26.645+02:00 level=INFO msg="  GHOST_MCP_LOG_FILE             = application.log"
time=2026-04-06T19:26:26.645+02:00 level=INFO msg="  GHOST_MCP_LOG_LEVEL            = INFO"
time=2026-04-06T19:26:26.645+02:00 level=INFO msg="  GHOST_MCP_VISUAL               = 1"
time=2026-04-06T19:26:26.646+02:00 level=INFO msg="  GHOST_MCP_KEEP_SCREENSHOTS     = 1"
time=2026-04-06T19:26:26.646+02:00 level=INFO msg="  GHOST_MCP_SCREENSHOT_DIR       = C:\\Users\\isber\\AppData\\Local\\Temp"
time=2026-04-06T19:26:26.647+02:00 level=INFO msg="  GHOST_MCP_AUDIT_LOG            = C:\\Users\\isber\\AppData\\Roaming\\ghost-mcp\\audit"
time=2026-04-06T19:26:26.647+02:00 level=INFO msg="  TESSDATA_PREFIX                = C:\\Users\\isber\\vcpkg\\installed\\x64-mingw-dynamic\\share\\tessdata"
time=2026-04-06T19:26:26.647+02:00 level=INFO msg="  GHOST_MCP_HTTP_ADDR            = localhost:8080"
time=2026-04-06T19:26:26.647+02:00 level=INFO msg="  GHOST_MCP_HTTP_BASE_URL        = "
time=2026-04-06T19:26:26.648+02:00 level=INFO msg="  GHOST_MCP_LEARNING             = 1 (learning mode on by default; set 0 to disable)"
